"","module_color","hubgene","module_n","n"
"1","turquoise","Cbll1",1,3050
"2","blue","COX5B_like_gene22048",2,2323
"3","brown","Hspa9",3,972
"4","yellow","Ptprm",4,919
"5","green","LOC106144648",5,651
"6","red","Tbl2",6,628
"7","black","Dnm1",7,587
"8","pink","Trmt11",8,562
"9","magenta","Col11a1",9,501
"10","purple","Dmwd",10,381
"11","greenyellow","Cnp",11,297
"12","tan","Sec61a1",12,227
"13","salmon","Hspd1",13,207
"14","cyan","Gnao1",14,187
"15","midnightblue","Pom121c",15,185
"16","lightcyan","Slc6a13",16,167
"17","grey60","G13793",17,167
"18","lightgreen","Nsf",18,128
"19","lightyellow","Znf280d",19,126
"20","royalblue","Lrrc4b",20,115
"21","darkred","Ppp2r5e",21,105
"22","darkgreen","G16730",22,41
